state_scid,school_name,district,county,locale,charter,magnet,title_1,num_students,pct_erw_benchmark_met_12,pct_math_benchmark_met_12,pct_erw_benchmark_met_11,pct_math_benchmark_met_11,pct_both_benchmarks_met_12,pct_both_benchmarks_11,free_reduced_lunch,sat_participation_rate
33672153334406.0,John W. North High,Riverside Unified,Riverside County,City: Large,No,No,Yes,2254.0,60.09,38.5,67.31,50.0,34.74,45.67,0.7515527950310559,0.4051973051010587
19647251934470.0,Jordan High,Long Beach Unified,Los Angeles County,City: Large,No,Yes,Yes,2380.0,24.41,11.23,27.37,12.14,9.5,10.29,0.7987394957983194,0.767178658043654
50711750121129.0,Joseph A. Gregori High,Modesto City High,Stanislaus County,Rural: Fringe,No,No,No,2231.0,77.2,48.19,85.63,65.52,45.6,63.79,0.5396683101748095,0.33303085299455537
36677100120758.0,Jurupa Hills High,Fontana Unified,San Bernardino County,Suburb: Large,No,No,Yes,1946.0,58.7,32.61,50.95,27.25,29.71,24.17,0.7492291880781089,0.5851619644723093
33670903330412.0,Jurupa Valley High,Jurupa Unified,Riverside County,Suburb: Large,No,No,Yes,1693.0,54.41,36.76,53.81,29.66,33.82,25.85,0.7005316007088009,0.37346437346437344
30664313033057.0,Katella High,Anaheim Union High,Orange County,City: Large,No,No,Yes,2785.0,54.27,21.61,72.73,36.36,21.11,35.8,0.8179533213644524,0.28735632183908044
37683380107094.0,Kearny College Connections,San Diego Unified,San Diego County,City: Large,No,Yes,Yes,367.0,68.42,42.11,75.00,42.86,31.58,35.71,0.7465940054495913,0.49473684210526314
37683380107078.0,Kearny Digital Media & Design,San Diego Unified,San Diego County,City: Large,No,Yes,Yes,359.0,80.0,44.0,82.05,64.1,44.0,58.97,0.754874651810585,0.34408602150537637
37683380107102.0,Kearny Eng Innov & Design,San Diego Unified,San Diego County,City: Large,No,Yes,Yes,340.0,67.65,41.18,61.54,53.85,38.24,46.15,0.7411764705882353,0.410958904109589
37683380107086.0,Kearny School of Biomedical Science and Technology,San Diego Unified,San Diego County,City: Large,No,Yes,Yes,345.0,69.7,48.48,76.47,47.06,45.45,47.06,0.8057971014492754,0.42948717948717946
17640141734359.0,Kelseyville High,Kelseyville Unified,Lake County,Town: Distant,No,No,No,555.0,68.89,31.11,77.78,36.11,31.11,33.33,0.6432432432432432,0.3253012048192771
10739991033430.0,Kerman High,Kerman Unified,Fresno County,Town: Fringe,No,No,Yes,1592.0,64.71,37.25,64.75,28.78,36.27,26.62,0.7286432160804021,0.3337950138504155
27660682732170.0,King City High,South Monterey County Joint Union High,Monterey County,Town: Remote,No,No,Yes,1149.0,57.14,28.57,59.52,28.57,25.71,27.38,0.783289817232376,0.3149284253578732
19647331933001.0,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles County,Suburb: Large,No,Yes,Yes,1555.0,69.27,32.81,60.30,30.91,31.77,28.48,0.9138263665594856,0.7710487444608567
10622571033695.0,Kingsburg High,Kingsburg Joint Union High,Fresno County,Town: Fringe,No,No,Yes,1099.0,77.5,58.75,85.45,75.45,55.0,69.09,0.6060054595086443,0.37924151696606784
19101991933399.0,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles County,City: Large,No,No,No,528.0,97.22,48.61,95.77,74.65,48.61,74.65,0.18371212121212122,0.5416666666666666
19646591934611.0,La Canada High,La Canada Unified,Los Angeles County,Suburb: Large,No,No,–,2069.0,95.88,92.94,98.31,98.88,91.76,97.75,0.05026582890285162,0.5080291970802919
37683463731007.0,La Costa Canyon High,San Dieguito Union High,San Diego County,City: Midsize,No,No,No,1827.0,94.54,79.23,97.89,88.61,79.23,88.19,0.10509031198686371,0.41832669322709165
30665143033362.0,La Habra High,Fullerton Joint Union High,Orange County,Suburb: Large,No,Yes,Yes,2184.0,77.33,55.23,89.84,74.87,50.58,72.73,0.5059523809523809,0.3290559120073327
37683383733508.0,La Jolla High,San Diego Unified,San Diego County,City: Large,No,No,No,1331.0,89.21,79.14,96.41,82.63,77.7,82.63,0.20360631104432758,0.44868035190615835
19648401934728.0,La Mirada High,Norwalk-La Mirada Unified,Los Angeles County,Suburb: Large,No,No,No,1946.0,60.05,32.48,69.23,34.74,31.07,33.25,0.5405960945529291,0.8964401294498382
19734451934801.0,La Puente High,Hacienda la Puente Unified,Los Angeles County,Suburb: Large,No,No,Yes,1082.0,43.01,24.35,65.79,36.84,21.76,34.21,0.8438077634011091,0.5264187866927593
30665223033578.0,La Quinta High,Garden Grove Unified,Orange County,Suburb: Large,No,No,Yes,2145.0,87.17,80.76,91.58,86.32,76.09,83.42,0.6475524475524476,0.6657458563535912
33670583330669.0,La Quinta High,Desert Sands Unified,Riverside County,Suburb: Large,No,No,No,2535.0,76.59,42.46,59.36,35.34,40.48,33.04,0.6102564102564103,0.6507557677008751
19651281934868.0,La Serna High,Whittier Union High,Los Angeles County,Suburb: Large,No,No,Yes,2566.0,84.12,63.18,84.62,74.36,60.47,70.26,0.4992205767731878,0.3998371335504886
33669773330008.0,La Sierra High,Alvord Unified,Riverside County,City: Large,No,No,No,1605.0,66.67,43.43,46.90,26.55,40.4,23.01,0.7395638629283489,0.5347985347985348
30665553033206.0,Laguna Beach High,Laguna Beach Unified,Orange County,Suburb: Large,No,No,No,1047.0,96.49,78.95,96.77,91.94,78.95,90.32,0.10315186246418338,0.2113676731793961
34673143430592.0,Laguna Creek High,Elk Grove Unified,Sacramento County,Suburb: Large,No,No,No,2045.0,79.43,62.86,91.67,80.73,57.71,78.13,0.4464547677261614,0.4032967032967033
30736353030244.0,Laguna Hills High,Saddleback Valley Unified,Orange County,Suburb: Large,No,Yes,Yes,1500.0,90.68,61.02,96.46,82.3,60.17,82.3,0.3586666666666667,0.3035479632063075
33751760107920.0,Lakeside High,Lake Elsinore Unified,Riverside County,Suburb: Large,No,No,Yes,1806.0,60.71,36.61,70.71,42.14,32.14,38.57,0.7541528239202658,0.3118811881188119
19647251934678.0,Lakewood High,Long Beach Unified,Los Angeles County,Suburb: Large,No,Yes,No,3267.0,54.45,34.62,52.28,27.66,31.76,24.77,0.5754514845423936,0.8454790823211876
19642461995844.0,Lancaster High,Antelope Valley Union High,Los Angeles County,Suburb: Large,No,No,Yes,2669.0,68.1,36.21,51.10,18.96,34.48,17.17,0.6489321843387036,0.5300687285223368
7616300733725.0,Las Lomas High,Acalanes Union High,Contra Costa County,City: Small,No,No,Yes,1627.0,90.6,76.51,95.70,91.94,76.51,91.94,0.11677934849416104,0.43848167539267013
4615150434803.0,Las Plumas High,Oroville Union High,Butte County,Town: Distant,No,No,Yes,1140.0,75.0,46.43,94.44,72.22,46.43,72.22,0.6719298245614035,0.1013215859030837
18641391833805.0,Lassen High,Lassen Union High,Lassen County,Town: Remote,No,No,Yes,750.0,80.0,42.5,85.71,73.81,40.0,71.43,0.3253333333333333,0.2222222222222222
39685930116376.0,Lathrop High,Manteca Unified,San Joaquin County,Rural: Fringe,No,No,Yes,1337.0,70.16,29.84,73.44,50.0,27.42,45.31,0.5332834704562454,0.3042071197411003
19643521934926.0,Lawndale High,Centinela Valley Union High,Los Angeles County,Suburb: Large,No,No,Yes,2240.0,48.64,25.0,56.22,32.34,20.91,28.86,0.8125,0.3782569631626235
24657302433001.0,Le Grand High,Le Grand Union High,Merced County,Rural: Distant,No,No,Yes,486.0,43.48,23.91,44.62,33.85,15.22,26.15,0.8024691358024691,0.5091743119266054
43694014330239.0,Leigh High,Campbell Union High,Santa Clara County,City: Large,No,No,No,1809.0,92.73,78.18,97.63,86.17,76.97,85.38,0.10226644555002765,0.4976190476190476
43696664333522.0,Leland High,San Jose Unified,Santa Clara County,City: Large,No,No,No,1852.0,91.73,88.72,94.19,88.38,84.21,87.12,0.091792656587473,0.5562565720294427
16639821635606.0,Lemoore High,Lemoore Union High,Kings County,Suburb: Small,No,No,Yes,1916.0,71.74,35.87,83.33,68.33,31.52,61.67,0.4692066805845512,0.18627450980392157
34752830126060.0,Leroy Greene Academy,Natomas Unified,Sacramento County,City: Large,Yes,No,No,796.0,43.24,10.81,55.13,17.95,10.81,17.95,0.5238693467336684,0.7718120805369127
19643521935048.0,Leuzinger High,Centinela Valley Union High,Los Angeles County,Suburb: Large,No,No,Yes,1898.0,44.71,24.12,53.44,29.39,19.41,26.34,0.8303477344573235,0.46956521739130436
7617210733980.0,Liberty High,Liberty Union High,Contra Costa County,Suburb: Large,No,No,Yes,2795.0,80.3,56.65,91.98,70.75,53.69,68.4,0.30196779964221826,0.3209590100541377
15635291530476.0,Liberty High,Kern High,Kern County,City: Large,No,No,No,2147.0,85.64,70.77,88.80,77.6,68.72,73.6,0.26921285514671633,0.3065134099616858
20755802030203.0,Liberty High,Golden Valley Unified,Madera County,Rural: Fringe,No,No,No,579.0,85.11,48.94,90.63,71.88,44.68,71.88,0.41796200345423146,0.29259259259259257
34673550119131.0,Liberty Ranch High,Galt Joint Union High,Sacramento County,Town: Fringe,No,No,Yes,1141.0,77.14,54.29,85.00,66.67,52.14,63.33,0.5223488168273445,0.338409475465313
1612590130575.0,LIFE Academy,Oakland Unified,Alameda County,City: Large,No,No,Yes,443.0,64.1,41.03,61.11,44.44,38.46,38.89,0.9142212189616253,0.4351145038167939
38684783833241.0,Lincoln (Abraham) High,San Francisco Unified,San Francisco County,City: Large,No,No,No,2046.0,76.18,71.47,86.48,77.22,64.26,72.95,0.4423264907135875,0.5797101449275363
37683380114025.0,Lincoln High,San Diego Unified,San Diego County,City: Large,No,No,Yes,1421.0,42.04,15.92,37.96,18.25,14.01,13.87,0.840253342716397,0.40947075208913647
39685693933801.0,Lincoln High,Lincoln Unified,San Joaquin County,City: Large,No,No,No,2894.0,81.16,53.62,89.88,83.33,51.69,79.76,0.5138217000691085,0.26785714285714285
31669513134657.0,Lincoln High,Western Placer Unified,Placer County,Suburb: Large,No,No,Yes,2082.0,81.89,54.33,90.23,73.68,51.97,72.18,0.3045148895292987,0.287292817679558
19647330126516.0,Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,Los Angeles Unified,Los Angeles County,Suburb: Large,No,No,Yes,786.0,53.13,15.63,45.91,22.64,14.06,20.13,0.9491094147582697,0.7124600638977636
19647330126524.0,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles County,Suburb: Large,No,No,Yes,695.0,41.98,18.52,50.58,28.49,16.05,23.84,0.883453237410072,0.790625
19647330126532.0,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles County,Suburb: Large,No,No,Yes,666.0,41.67,15.0,27.11,10.84,10.0,10.24,0.9684684684684685,0.773972602739726
39685773933959.0,Linden High,Linden Unified,San Joaquin County,Rural: Fringe,No,No,No,704.0,78.79,42.42,72.92,41.67,42.42,37.5,0.5866477272727273,0.26644736842105265
58727365830013.0,Lindhurst High,Marysville Joint Unified,Yuba County,Suburb: Midsize,No,No,Yes,1219.0,60.53,36.84,78.57,45.24,34.21,42.86,0.8646431501230517,0.16096579476861167
54719935432414.0,Lindsay Senior High,Lindsay Unified,Tulare County,Town: Fringe,No,No,Yes,1062.0,55.0,15.0,62.50,22.92,12.0,21.88,0.8625235404896422,0.38811881188118813
19642461995406.0,Littlerock High,Antelope Valley Union High,Los Angeles County,Rural: Fringe,No,No,Yes,1441.0,52.38,26.98,46.28,14.86,25.4,13.85,0.7938931297709924,0.5302806499261448
51713995135256.0,Live Oak High,Live Oak Unified,Sutter County,Town: Fringe,No,No,Yes,547.0,66.67,33.33,71.15,44.23,30.56,42.31,0.7605118829981719,0.34108527131782945
43695834333951.0,Live Oak High,Morgan Hill Unified,Santa Clara County,Suburb: Small,No,No,No,1177.0,84.38,61.46,89.47,71.58,60.42,70.53,0.3746813933729822,0.3453887884267631
1612000134536.0,Livermore High,Livermore Valley Joint Unified,Alameda County,City: Small,No,No,Yes,1856.0,89.39,76.52,98.83,84.21,73.48,84.21,0.24515086206896552,0.33042529989094876
24657892433605.0,Livingston High,Merced Union High,Merced County,Suburb: Small,No,No,Yes,1229.0,62.64,34.07,68.29,36.59,32.97,34.15,0.7917005695687551,0.28084415584415584
30664313033784.0,Loara High,Anaheim Union High,Orange County,City: Large,No,No,Yes,1918.0,64.34,38.76,71.67,50.0,36.43,44.17,0.8227320125130344,0.25617283950617287
39685853934783.0,Lodi High,Lodi Unified,San Joaquin County,Suburb: Small,No,No,No,2147.0,86.93,71.9,90.18,83.93,69.93,78.57,0.5235211923614346,0.25853658536585367
42692294233060.0,Lompoc High,Lompoc Unified,Santa Barbara County,Suburb: Small,No,No,Yes,1590.0,73.68,57.89,46.15,22.07,57.89,19.4,0.7226415094339622,0.4368131868131868
